referenceTime,value
1998-02-28T23:00:00Z,50.1
1998-03-31T22:00:00Z,33.8
1998-04-30T22:00:00Z,51.7
1998-05-31T22:00:00Z,83.9
1998-06-30T22:00:00Z,50.8
1998-07-31T22:00:00Z,130.7
1998-08-31T22:00:00Z,37.6
1998-09-30T22:00:00Z,81.9
1998-10-31T23:00:00Z,25.9
1998-11-30T23:00:00Z,94.1
1998-12-31T23:00:00Z,58.9
1999-01-31T23:00:00Z,101.3
1999-02-28T23:00:00Z,42.9
1999-03-31T22:00:00Z,89.9
1999-04-30T22:00:00Z,31.8
1999-05-31T22:00:00Z,104.4
1999-06-30T22:00:00Z,142.9
1999-07-31T22:00:00Z,57.6
1999-08-31T22:00:00Z,33.1
1999-09-30T22:00:00Z,87.4
1999-10-31T23:00:00Z,54.8
1999-11-30T23:00:00Z,49.4
1999-12-31T23:00:00Z,112.4
2000-01-31T23:00:00Z,75.3
2000-02-29T23:00:00Z,127
2000-03-31T22:00:00Z,16.1
2000-04-30T22:00:00Z,33.9
2000-05-31T22:00:00Z,73
2000-06-30T22:00:00Z,56.6
2000-07-31T22:00:00Z,89.7
2000-08-31T22:00:00Z,20.4
2000-09-30T22:00:00Z,29.9
2000-10-31T23:00:00Z,6.6
2000-11-30T23:00:00Z,26.9
2000-12-31T23:00:00Z,22.4
2001-01-31T23:00:00Z,75.7
2001-02-28T23:00:00Z,25.2
2001-03-31T22:00:00Z,35
2001-04-30T22:00:00Z,93.6
2001-05-31T22:00:00Z,65.8
2001-06-30T22:00:00Z,165.8
2001-07-31T22:00:00Z,114.6
2001-08-31T22:00:00Z,47.7
2001-09-30T22:00:00Z,49.5
2001-10-31T23:00:00Z,199.1
2001-11-30T23:00:00Z,87.6
2001-12-31T23:00:00Z,70.9
2002-01-31T23:00:00Z,61.1
2002-02-28T23:00:00Z,76.5
2002-03-31T22:00:00Z,36.6
2002-04-30T22:00:00Z,39.8
2002-05-31T22:00:00Z,69
2002-06-30T22:00:00Z,52.8
2002-07-31T22:00:00Z,31.8
2002-08-31T22:00:00Z,120.4
2002-09-30T22:00:00Z,47.8
2002-10-31T23:00:00Z,14.9
2002-11-30T23:00:00Z,67.1
2002-12-31T23:00:00Z,140.1
2003-01-31T23:00:00Z,6.4
2003-02-28T23:00:00Z,40.9
2003-03-31T22:00:00Z,31.4
2003-04-30T22:00:00Z,65.9
2003-05-31T22:00:00Z,85.6
2003-06-30T22:00:00Z,57.1
2003-07-31T22:00:00Z,148.7
2003-08-31T22:00:00Z,62.2
2003-09-30T22:00:00Z,82.6
2003-10-31T23:00:00Z,13.7
2003-11-30T23:00:00Z,162.7
2003-12-31T23:00:00Z,19.5
2004-01-31T23:00:00Z,79.4
2004-02-29T23:00:00Z,44.1
2004-03-31T22:00:00Z,54.4
2004-04-30T22:00:00Z,59.9
2004-05-31T22:00:00Z,60.5
2004-06-30T22:00:00Z,68.5
2004-07-31T22:00:00Z,60.1
2004-08-31T22:00:00Z,220.6
2004-09-30T22:00:00Z,19.9
2004-10-31T23:00:00Z,155.7
2004-11-30T23:00:00Z,163.6
2004-12-31T23:00:00Z,122.5
2005-01-31T23:00:00Z,53.3
2005-02-28T23:00:00Z,22.1
2005-03-31T22:00:00Z,23.4
2005-04-30T22:00:00Z,61.4
2005-05-31T22:00:00Z,73.5
2005-06-30T22:00:00Z,25.8
2005-07-31T22:00:00Z,91.7
2005-08-31T22:00:00Z,112.1
2005-09-30T22:00:00Z,62.5
2005-10-31T23:00:00Z,83.7
2005-11-30T23:00:00Z,170.2
2005-12-31T23:00:00Z,103.5
2006-01-31T23:00:00Z,93.3
2006-02-28T23:00:00Z,37.5
2006-03-31T22:00:00Z,28.9
2006-04-30T22:00:00Z,65.8
2006-05-31T22:00:00Z,42.8
2006-06-30T22:00:00Z,63.3
2006-07-31T22:00:00Z,57.4
2006-08-31T22:00:00Z,82.2
2006-09-30T22:00:00Z,65.7
2006-10-31T23:00:00Z,82.8
2006-11-30T23:00:00Z,105.8
2006-12-31T23:00:00Z,109
2007-01-31T23:00:00Z,60.9
2007-02-28T23:00:00Z,70.9
2007-03-31T22:00:00Z,54.1
2007-04-30T22:00:00Z,59.2
2007-05-31T22:00:00Z,35
2007-06-30T22:00:00Z,114.1
2007-07-31T22:00:00Z,95.9
2007-08-31T22:00:00Z,105.5
2007-09-30T22:00:00Z,107
2007-10-31T23:00:00Z,156.9
2007-11-30T23:00:00Z,43.5
2007-12-31T23:00:00Z,46.3
2008-01-31T23:00:00Z,97.2
2008-02-29T23:00:00Z,52.4
2008-03-31T22:00:00Z,7.7
2008-04-30T22:00:00Z,42.2
2008-05-31T22:00:00Z,108.5
2008-06-30T22:00:00Z,60.5
2008-07-31T22:00:00Z,52.4
2008-08-31T22:00:00Z,47
2008-09-30T22:00:00Z,67.2
2008-10-31T23:00:00Z,130.6
2008-11-30T23:00:00Z,25
2008-12-31T23:00:00Z,67
